level,unit,word,translation
2,1,ant,蚂蚁
2,1,ax,斧子
2,1,can,能
2,1,cat,猫
2,1,dam,坝
2,1,fan,风扇
2,1,jam,果酱
2,1,man,成年男子
2,1,pan,平底锅
2,1,ram,公羊
2,1,yak,牦牛
2,1,yam,薯蓣
2,2,bag,包
2,2,bat,球棒
2,2,cap,帽子
2,2,dad,爸爸
2,2,hat,帽子
2,2,map,地图
2,2,mat,席子
2,2,nap,小睡
2,2,pad,软垫
2,2,rag,破布
2,2,rat,大老鼠
2,2,tap,龙头
2,3,bed,床（位）
2,3,egg,卵
2,3,hen,母鸡
2,3,jet,喷嘴
2,3,net,网
2,3,pen,笔
2,3,pet,宠物
2,3,red,红色
2,3,ten,十个人
2,3,vet,兽医
2,3,web,蜘蛛网
2,3,wet,湿的
2,4,bib,围嘴
2,4,hip,臀部
2,4,in,在内的
2,4,ink,墨水
2,4,kid,小孩
2,4,lid,盖（子）
2,4,lip,嘴唇
2,4,rib,肋骨
2,4,rip,裂口
2,4,sip,小口喝
2,4,tip,尖/顶端
2,4,zip,<英>拉链
2,5,big,大的
2,5,bin,垃圾桶
2,5,dig,考古发掘
2,5,fig,无花果
2,5,fin,鱼鳍
2,5,hit,打
2,5,mix,混合
2,5,pin,钉
2,5,pit,井
2,5,six,六
2,5,wig,假发
2,5,win,赢（得）
2,6,cot,小床
2,6,dot,点
2,6,fox,狐
2,6,hop,跳舞
2,6,hot,热的
2,6,log,记录
2,6,mop,拖把
2,6,ox,去势公牛
2,6,pop,流行音乐的
2,6,pot,罐
2,6,rod,杆
2,6,top,顶（端）
2,7,bud,芽
2,7,bug,虫子
2,7,cup,杯子
2,7,hug,拥抱
2,7,jug,<英>（有柄有嘴的）壶
2,7,mud,泥
2,7,mug,马克杯
2,7,pup,小狗
2,7,rug,小块地毯
2,7,sun,太阳
2,7,up,向上
2,8,bun,小圆面包
2,8,cub,幼兽
2,8,cut,伤口
2,8,fun,乐趣
2,8,gum,口香糖
2,8,hum,哼（曲子）
2,8,hut,小屋
2,8,nut,坚果（仁）
2,8,run,奔跑
2,8,tub,澡盆
